VIDEOGAME_ID,NAME,RELEASE_DATE,REQUIRED_AGE,PRICE,POSITIVE_RATINGS,NEGATIVE_RATINGS
356390,The Slaughter: Act One,2016-01-28,0,4.99,82,16
356400,Thumper,2016-10-10,0,15.99,1950,166
356420,Interloper,2015-05-21,0,0,284,44
356430,Chris Sawyers Locomotion™,2015-03-17,0,4.79,195,56
356450,Creature Romances: Kokonoe Kokoro,2018-03-02,0,2.09,114,46
356460,Drive!Drive!Drive!,2016-12-13,0,7.19,31,10
356500,STAR WARS™ Galactic Battlegrounds Saga,2016-03-01,0,4.79,1196,196
356510,Soccer Rage,2015-06-02,0,6.99,585,101
356520,Port of Call,2015-08-28,0,0,939,104
356530,The Confines Of The Crown,2015-04-03,0,14.99,158,18
356540,East Tower - Takashi (East Tower Series Vol. 2),2015-05-27,0,4.79,19,9
356550,East Tower - Kuon (East Tower Series Vol. 3),2015-06-26,0,5.99,17,5
356560,East Tower - Kurenai (East Tower Series Vol. 4),2015-07-30,0,11.39,20,5
356570,Party Hard,2015-08-25,18,7.19,4700,662
356580,Aerannis,2015-09-15,0,3.99,74,32
356650,Deaths Gambit,2018-08-13,0,14.99,1057,417
356670,Spookys Jump Scare Mansion,2015-07-28,0,0,9030,725
356710,Band of Drones,2015-03-25,0,5.59,3,0
356730,The Hole Story,2015-07-13,0,3.99,9,8
356770,Astronaut Simulator,2015-04-02,0,1.59,38,21
356790,Galacide,2015-07-28,0,3.99,68,8
356800,Choice of the Petal Throne,2015-04-10,0,3.99,9,11
356880,Eron,2015-03-17,0,1.59,138,102
356890,One More Line,2015-08-28,0,2.09,124,41
356910,Battle Fantasia -Revised Edition-,2015-07-07,0,10.99,72,33
357010,The Collider 2,2016-04-19,0,6.99,30,9
357030,Excubitor,2016-05-26,0,9.99,17,7
357070,UBERMOSH,2015-08-13,0,0.79,1761,199
357120,Big Action Mega Fight!,2016-01-12,0,1.59,152,41
357190,ULTIMATE MARVEL VS. CAPCOM 3,2017-03-06,0,19.99,1386,201
357200,500 Years Act 1,2015-04-15,0,5.59,16,42
357290,Red Lake,2015-03-25,0,0.79,326,446
357300,Snakebird,2015-05-04,0,4.99,615,47
357310,Oriental Empires,2017-09-14,0,22.99,1229,340
357320,Break_In,2015-04-29,0,6.99,30,20
357330,Space Beast Terror Fright,2015-04-06,0,10.99,673,46
357340,Cobalt,2016-02-02,0,11.39,551,58
357370,Return NULL - Episode 1,2015-04-02,0,0,57,31
357490,Astroloco: Worst Contact,2016-03-11,0,3.99,14,1
357500,Rumble Fighter: Unleashed,2016-12-16,0,0,98,111
357600,Unium,2015-03-27,0,1.59,264,12
357650,Project Explore,2017-08-10,0,3.99,176,64
357670,Home Improvisation: Furniture Sandbox,2016-07-28,0,6.99,136,55
357690,APT,2015-08-27,0,11.39,24,9
357700,Rogue Continuum,2016-10-04,0,6.99,19,3
357720,Inside My Radio,2015-05-11,0,10.99,353,38
357750,Damn virgins,2015-07-30,0,2.09,21,3
357770,The District,2018-03-14,0,0.79,304,1083
357780,Defend Your Life: TD,2015-04-10,0,3.99,743,179
357830,Attack of the Labyrinth +,2015-03-30,0,0,27,14
357840,Zombie Camp: Last Survivor,2015-04-17,0,1.69,32,17
357890,Vortex Attack: ボルテックスアタック,2015-05-27,0,5.79,59,7
357900,Make it indie!,2015-04-01,0,0.79,544,653
357910,QuestEvent,2015-09-09,0,2.09,7,16
357920,Final Strike,2016-06-23,0,6.99,14,21
357930,R.O.O.T.S,2015-04-01,0,1.69,34,21
357940,Telepath Tactics,2015-04-16,0,10.99,75,22
358000,The Curse of Nordic Cove,2015-04-23,0,0.79,15,13
358030,Another Star,2015-07-28,0,7.19,27,1
358070,Earthtongue,2015-04-27,0,3.99,109,12
358080,No Turning Back: The Pixel Art Action-Adventure Roguelike,2016-01-15,0,1.99,116,94
358090,D4: Dark Dreams Don’t Die -Season One-,2015-06-05,16,10.99,1312,305
358130,Curious Expedition,2016-09-02,0,10.99,1716,208
358190,Blake Stone: Aliens of Gold,2015-05-05,0,3.99,33,4
358200,Math Rescue,2014-05-05,0,3.99,29,8
358210,Monster Bash,2014-05-05,0,3.99,27,4
358220,Mystic Towers,2014-05-05,0,3.99,17,5
358230,Paganitzu,2014-05-05,0,3.99,16,9
358250,Cosmos Cosmic Adventure,2014-05-05,0,3.99,52,9
358260,Crystal Caves,2014-05-05,0,3.99,45,12
358270,Death Rally (Classic),2014-05-05,0,3.99,118,16
358290,Hocus Pocus,2014-05-05,0,3.99,60,10
358300,Major Stryker,2014-05-05,0,0,13,5
358310,Blake Stone: Planet Strike,2015-05-05,0,3.99,15,7
358320,Realms of Chaos,2014-05-05,0,3.99,19,6
358340,Word Rescue,2014-05-05,0,3.99,22,13
358350,Secret Agent,2014-05-05,0,3.99,43,7
358360,Raptor: Call of the Shadows (1994 Classic Edition),2014-05-05,0,3.99,71,9
358370,Terminal Velocity,2014-05-05,0,4.99,42,3
358380,Wacky Wheels,2014-05-05,0,3.99,76,17
358390,Stargunner,2014-05-05,0,0,55,9
358410,Rise of the Triad: Dark War,2014-05-05,0,4.99,40,4
358460,Talisman: The Horus Heresy,2016-02-22,0,5.19,170,67
358610,Exowar,2015-03-23,0,4.99,15,59
358650,Gryphon Knight Epic,2015-08-20,0,4.99,176,34
358700,3d Bridges,2015-03-23,0,2.89,10,11
358750,Sunrider: Liberation Day - Captains Edition,2016-03-04,0,18.99,546,95
358760,Selenon Rising,2016-04-29,0,4.79,14,3
358770,The Reject Demon: Toko Chapter 0 — Prelude,2015-05-08,18,3.99,146,18
358810,Luckslinger,2015-07-16,0,6.99,92,16
358830,Good Robot,2016-04-05,0,6.19,184,33
358840,ZombieRun,2015-06-03,0,1.99,23,33
358960,Canabalt,2015-04-30,0,1.99,175,29
359040,The Music Machine,2015-05-06,0,3.99,247,30
359050,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,2015-09-02,16,0.79,8258,423
359060,Switch Galaxy Ultra,2015-11-20,0,6.99,34,47
359070,Hunter Gatherer,2015-03-24,0,1.59,9,9
359090,Gare Sapphire Mechs,2015-04-01,0,5.59,25,12
2100,Dark Messiah of Might & Magic,2006-10-25,0,4.29,4386,316
2200,Quake III Arena,2007-08-03,0,12.99,1362,66
2210,Quake IV,2011-08-04,18,12.99,891,171
2270,Wolfenstein 3D,2007-08-03,0,2.99,1773,87
2280,Ultimate Doom,2007-08-03,0,3.99,3705,257
2290,Final DOOM,2007-08-03,0,3.99,573,82
2300,DOOM II,2007-08-03,0,3.99,2517,182
2310,QUAKE,2007-08-03,0,3.99,2618,136
2320,QUAKE II,2007-08-03,0,3.99,1369,107
2330,QUAKE II Mission Pack: The Reckoning,2007-08-03,0,2.49,65,12
2340,QUAKE II Mission Pack: Ground Zero,2007-08-03,0,2.49,54,33
2350,QUAKE III: Team Arena,2007-08-03,0,12.99,108,31
2360,HeXen: Beyond Heretic,2007-08-03,0,2.99,249,26
2370,HeXen: Deathkings of the Dark Citadel,2007-08-03,0,2.99,57,20
2390,Heretic: Shadow of the Serpent Riders,2007-08-03,0,2.99,417,29
