TAG_ID,VIDEOGAME_ID
14,274190
14,274230
14,274270
14,274480
14,274500
14,274560
14,274900
14,274940
14,275060
14,275390
14,275530
14,275570
14,275610
14,276730
14,276890
14,277390
14,277430
14,277490
14,277510
14,277520
14,277590
14,277650
14,277870
14,278080
14,278100
14,278510
14,278620
14,278640
14,278810
14,278850
14,278890
14,278930
14,278970
14,279160
14,279520
14,279580
14,279920
14,280010
14,280180
14,280200
14,280380
14,280460
14,280500
14,280600
14,280640
14,280890
14,280930
14,281220
14,281260
14,281280
14,281410
14,281820
14,281860
14,281920
14,281940
14,282010
14,282030
14,282100
14,282530
14,282620
14,282640
14,282780
14,282860
14,283080
14,283100
14,283160
14,283270
14,283290
14,283330
14,283350
14,283370
14,283390
14,283410
14,283430
14,283660
14,283820
14,283840
14,284140
14,284180
14,284220
14,284410
14,284460
14,284910
14,284930
14,284970
14,284990
14,285090
14,285520
14,285670
14,285820
14,285840
14,285980
14,286040
14,286440
14,286520
14,286660
14,286730
14,286770
14,286810
14,286830
14,286880
14,286930
14,286940
14,287100
14,287120
14,287840
14,287860
14,288000
14,288020
14,288100
14,288260
14,288370
14,289180
14,289220
14,289280
14,289300
14,289400
14,289480
14,289620
14,289690
14,289760
14,290000
14,290040
14,290280
14,290320
14,290440
14,290470
14,290490
14,290650
14,290890
14,291070
14,291130
14,291250
14,291270
14,291330
14,291390
14,291430
14,291910
14,292060
14,292390
14,292420
14,292480
14,292570
14,292600
14,292730
14,293220
14,293240
14,293420
14,293440
14,293460
14,293540
14,293600
14,293720
14,293840
14,293900
14,294000
14,294060
14,294230
14,294280
14,294460
14,294590
14,294770
14,294790
14,295490
14,295610
14,295650
14,295670
14,295690
14,295730
14,295770
14,295870
14,295910
14,295950
14,296010
14,296030
14,296150
14,296180
14,296300
14,296510
14,296650
14,296730
14,296890
14,296910
14,296930
14,297020
14,297060
14,297100
14,297120
14,297310
14,297410
14,297450
14,297620
14,297740
14,297860
14,298110
14,298280
14,298340
14,298360
14,298400
14,298520
14,298560
14,298600
14,298790
14,299030
14,299050
14,299260
14,299360
14,299380
14,299440
14,299480
14,299580
14,299660
14,299800
14,299840
14,299950
14,300040
14,300260
14,300380
14,300580
14,300760
14,300820
14,300840
14,300910
14,301220
14,301300
14,301360
14,301420
14,301460
14,301540
14,301640
14,301650
14,301680
14,301750
14,301760
14,301830
14,301840
14,301910
14,301970
14,301980
14,301990
14,302010
14,302240
14,302250
14,302260
14,302330
14,302510
14,302590
14,302610
14,302710
14,302790
14,302810
14,302870
14,302910
14,303260
14,303340
14,303390
14,303470
14,303510
14,303550
14,303590
14,303610
14,303680
14,303690
14,303720
14,303840
14,303860
14,303870
14,304150
14,304170
14,304390
14,304530
14,304540
14,304850
14,304910
14,305010
14,305070
14,305380
14,305500
14,305660
14,305720
14,305800
14,305980
14,306000
14,306350
14,306440
14,306670
14,306700
14,307030
14,307090
14,307130
14,307150
14,307170
14,307210
14,307340
14,307350
